Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
D1-002,MEDIUM,Long method — mapCorvetVisResponseForNewFlow() is 47 lines,VISServiceImpl.java,681,D1,,NO
D1-002,MEDIUM,Long method — setVisCinCorvetResponse() is 33 lines,VISServiceImpl.java,738,D1,,NO
D1-002,MEDIUM,Long method — createResponseFromLpnData() is 33 lines,VISServiceImpl.java,878,D1,,NO
D1-001,MEDIUM,God class — 21 methods in ActiveContractsRequestParameter,ActiveContractsRequestParameter.java,0,D1,,NO
D7-001,LOW,Deprecated API — StringBuffer used in ActiveContractsRequestParameter,ActiveContractsRequestParameter.java,51,D7,,NO
D11-001,CRITICAL,Hardcoded credential — API_KEY in Constants,Constants.java,567,D11,,YES
D11-001,CRITICAL,Hardcoded credential — API_KEY_SPLIT in Constants,Constants.java,737,D11,,YES
D1-001,MEDIUM,God class — 54 methods in VinRequestParameter,VinRequestParameter.java,0,D1,,NO
D1-002,MEDIUM,Long method — getActiveContracts() is 68 lines,ActiveContractResource.java,71,D1,,NO
D1-003,LOW,Too many params — getActiveContracts() has 9 parameters,ActiveContractResource.java,71,D1,,NO
D7-001,LOW,Deprecated API — Date used in ActiveContractResource,ActiveContractResource.java,108,D7,,NO
D1-002,MEDIUM,Long method — getOVHealth() is 56 lines,HealthResource.java,96,D1,,NO
D1-002,MEDIUM,Long method — getSagaiWarrantyHealth() is 55 lines,HealthResource.java,159,D1,,NO
D1-002,MEDIUM,Long method — getContractsHealth() is 54 lines,HealthResource.java,221,D1,,NO
D1-002,MEDIUM,Long method — getErecaHealth() is 49 lines,HealthResource.java,282,D1,,NO
D1-002,MEDIUM,Long method — getCorvetHealth() is 62 lines,HealthResource.java,338,D1,,NO
D1-002,MEDIUM,Long method — getDaiHealth() is 82 lines,HealthResource.java,407,D1,,NO
D1-004,LOW,Magic number 6 in getDaiHealth(),HealthResource.java,433,D1,,NO
D1-002,MEDIUM,Long method — getCartellHealth() is 53 lines,HealthResource.java,496,D1,,NO
