Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
D11-001,CRITICAL,Hardcoded credential — AUTH_TOKEN_KEY in AuthConstant,AuthConstant.java,90,D11,,YES
D11-001,CRITICAL,Hardcoded credential — API_KEY in Constants,Constants.java,576,D11,,YES
D1-001,MEDIUM,God class — 22 methods in ApplicationConfig,ApplicationConfig.java,0,D1,,NO
D1-003,LOW,Too many params — returnErrorResponse() has 8 parameters,DimboValidator.java,30,D1,,NO
D1-003,LOW,Too many params — errorLoggedResponse() has 8 parameters,DimboValidator.java,46,D1,,NO
D1-002,MEDIUM,Long method — updateContractDetails() is 63 lines,DimboSubcriptionServiceImpl.java,66,D1,,NO
D1-002,MEDIUM,Long method — addContractDetails() is 68 lines,DimboSubcriptionServiceImpl.java,193,D1,,NO
D7-001,LOW,Deprecated API — Date used in DimboSubcriptionServiceImpl,DimboSubcriptionServiceImpl.java,159,D7,,NO
D7-001,LOW,Deprecated API — Date used in DimboSubcriptionServiceImpl,DimboSubcriptionServiceImpl.java,175,D7,,NO
D1-003,LOW,Too many params — returnErrorResponse() has 8 parameters,DimboValidatorImpl.java,34,D1,,NO
D1-003,LOW,Too many params — errorLoggedResponse() has 8 parameters,DimboValidatorImpl.java,56,D1,,NO
D1-003,LOW,Too many params — createErrorFormat() has 8 parameters,DimboValidatorImpl.java,77,D1,,NO
D1-004,LOW,Magic number 36 in generateCustomerId(),DummyDimboSubcriptionServiceImpl.java,104,D1,,NO
D1-004,LOW,Magic number 16 in generateCustomerId(),DummyDimboSubcriptionServiceImpl.java,108,D1,,NO
D1-004,LOW,Magic number 36 in generateContractNumber(),DummyDimboSubcriptionServiceImpl.java,114,D1,,NO
D1-004,LOW,Magic number 8 in generateContractNumber(),DummyDimboSubcriptionServiceImpl.java,118,D1,,NO
D7-001,LOW,Deprecated API — Date used in DummyDimboSubcriptionServiceImpl,DummyDimboSubcriptionServiceImpl.java,82,D7,,NO
D7-001,LOW,Deprecated API — Date used in DummyDimboSubcriptionServiceImpl,DummyDimboSubcriptionServiceImpl.java,82,D7,,NO
D1-002,MEDIUM,Long method — getCinEsigiResponse() is 38 lines,VehicleInformationServiceImpl.java,141,D1,,NO
